"category","sub_category","aggregation_date","millions_of_dollar","pipeline_exc_datetime"
"Meats and poultry","Poultry","1982-07-01","10228","2024-07-02"
"Meats and poultry","Poultry","1981-12-01","10031","2024-07-02"
"Meats and poultry","Poultry","1981-10-01","9969","2024-07-02"
"Meats and poultry","Poultry","1981-11-01","9937","2024-07-02"
"Meats and poultry","Poultry","1980-12-01","9295","2024-07-02"
"Meats and poultry","Poultry","1980-11-01","9189","2024-07-02"
"Meats and poultry","Poultry","1980-10-01","9120","2024-07-02"
"Meats and poultry","Poultry","1979-12-01","8305","2024-07-02"
"Meats and poultry","Poultry","1979-11-01","8299","2024-07-02"
"Meats and poultry","Poultry","1979-10-01","8107","2024-07-02"
"Meats and poultry","Poultry","1978-12-01","7353","2024-07-02"
"Meats and poultry","Poultry","1978-11-01","7233","2024-07-02"
"Meats and poultry","Poultry","1978-09-01","7080","2024-07-02"
"Meats and poultry","Poultry","1976-12-01","5583","2024-07-02"
"Meats and poultry","Poultry","1976-10-01","5516","2024-07-02"
"Meats and poultry","Poultry","1976-11-01","5485","2024-07-02"
"Meats and poultry","Poultry","1977-11-01","6168","2024-07-02"
"Meats and poultry","Poultry","1977-12-01","6053","2024-07-02"
"Meats and poultry","Poultry","1977-10-01","6000","2024-07-02"
"Meats and poultry","Poultry","1975-11-01","5296","2024-07-02"
"Meats and poultry","Poultry","1975-12-01","5292","2024-07-02"
"Meats and poultry","Poultry","1975-09-01","5259","2024-07-02"
"Meats and poultry","Poultry","1974-01-01","4896","2024-07-02"
"Meats and poultry","Poultry","1974-02-01","4840","2024-07-02"
"Meats and poultry","Poultry","1974-03-01","4717","2024-07-02"
"Meats and poultry","Poultry","1973-07-01","5039","2024-07-02"
"Meats and poultry","Poultry","1973-09-01","5003","2024-07-02"
"Meats and poultry","Poultry","1973-08-01","4966","2024-07-02"
"Meats and poultry","Poultry","1972-12-01","4069","2024-07-02"
"Meats and poultry","Poultry","1972-11-01","3985","2024-07-02"
"Meats and poultry","Poultry","1972-10-01","3911","2024-07-02"
"Meats and poultry","Poultry","1970-09-01","3921","2024-07-02"
"Meats and poultry","Poultry","1970-12-01","3872","2024-07-02"
"Meats and poultry","Poultry","1970-08-01","3865","2024-07-02"
"Meats and poultry","Poultry","1971-01-01","3685","2024-07-02"
"Meats and poultry","Poultry","1971-02-01","3581","2024-07-02"
"Meats and poultry","Poultry","1971-03-01","3466","2024-07-02"
"Meats and poultry","Poultry","1969-12-01","3174","2024-07-02"
"Meats and poultry","Poultry","1969-11-01","3092","2024-07-02"
"Meats and poultry","Poultry","1969-10-01","3027","2024-07-02"
"Meats and poultry","Poultry","1968-11-01","2823","2024-07-02"
"Meats and poultry","Poultry","1968-12-01","2782","2024-07-02"
"Meats and poultry","Poultry","1968-08-01","2781","2024-07-02"
"Meats and poultry","Poultry","1966-07-01","2807","2024-07-02"
"Meats and poultry","Poultry","1966-09-01","2794","2024-07-02"
"Meats and poultry","Poultry","1966-08-01","2781","2024-07-02"
"Meats and poultry","Poultry","1967-01-01","2744","2024-07-02"
"Meats and poultry","Poultry","1967-02-01","2717","2024-07-02"
"Meats and poultry","Poultry","1967-03-01","2701","2024-07-02"
"Meats and poultry","Poultry","1965-12-01","2568","2024-07-02"
"Meats and poultry","Poultry","1965-10-01","2522","2024-07-02"
"Meats and poultry","Poultry","1965-11-01","2493","2024-07-02"
"Meats and poultry","Poultry","2021-01-01","65033","2024-07-02"
"Meats and poultry","Poultry","1964-12-01","2361","2024-07-02"
"Meats and poultry","Poultry","1964-08-01","2302","2024-07-02"
"Meats and poultry","Poultry","1964-10-01","2300","2024-07-02"
"Meats and poultry","Poultry","1963-11-01","2101","2024-07-02"
"Meats and poultry","Poultry","1963-12-01","2099","2024-07-02"
"Meats and poultry","Poultry","1963-08-01","2080","2024-07-02"
"Meats and poultry","Poultry","1962-09-01","2009","2024-07-02"
"Meats and poultry","Poultry","1962-11-01","1996","2024-07-02"
"Meats and poultry","Poultry","1962-10-01","1992","2024-07-02"
"Meats and poultry","Poultry","1961-01-01","1888","2024-07-02"
"Meats and poultry","Poultry","1961-02-01","1886","2024-07-02"
"Meats and poultry","Poultry","1961-12-01","1885","2024-07-02"
"Meats and poultry","Poultry","1960-11-01","1914","2024-07-02"
"Meats and poultry","Poultry","1960-07-01","1879","2024-07-02"
"Meats and poultry","Poultry","1960-10-01","1875","2024-07-02"
"Meats and poultry","Poultry","1959-12-01","1769","2024-07-02"
"Meats and poultry","Poultry","1959-10-01","1728","2024-07-02"
"Meats and poultry","Poultry","1959-11-01","1723","2024-07-02"
