Category;Sub-Category;Month;Millions of Dollars
Alcoholic beverages;Beer;1976-01-01;9908
Alcoholic beverages;Beer;1976-02-01;9994
Alcoholic beverages;Beer;1976-03-01;10127
Alcoholic beverages;Beer;1976-04-01;10204
Alcoholic beverages;Beer;1976-05-01;10233
Alcoholic beverages;Beer;1976-06-01;10481
Alcoholic beverages;Beer;1976-07-01;10500
Alcoholic beverages;Beer;1976-08-01;10537
Alcoholic beverages;Beer;1976-09-01;10586
Alcoholic beverages;Beer;1976-10-01;10752
Alcoholic beverages;Beer;1976-11-01;10677
Alcoholic beverages;Beer;1976-12-01;10788
Alcoholic beverages;Beer;1977-01-01;10729
Alcoholic beverages;Beer;1977-02-01;11331
Alcoholic beverages;Beer;1977-03-01;11099
Alcoholic beverages;Beer;1977-04-01;11206
Alcoholic beverages;Beer;1977-05-01;11305
Alcoholic beverages;Beer;1977-06-01;11288
Alcoholic beverages;Beer;1977-07-01;11347
Alcoholic beverages;Beer;1977-08-01;11299
Alcoholic beverages;Beer;1977-09-01;11263
Alcoholic beverages;Beer;1977-10-01;11475
Alcoholic beverages;Beer;1977-11-01;11725
Alcoholic beverages;Beer;1977-12-01;11687
Alcoholic beverages;Beer;1978-01-01;11710
Alcoholic beverages;Beer;1978-02-01;12003
Alcoholic beverages;Beer;1978-03-01;12293
Alcoholic beverages;Beer;1978-04-01;12370
Alcoholic beverages;Beer;1978-05-01;12552
Alcoholic beverages;Beer;1978-06-01;12816
Alcoholic beverages;Beer;1978-07-01;12917
Alcoholic beverages;Beer;1978-08-01;13116
Alcoholic beverages;Beer;1978-09-01;13456
Alcoholic beverages;Beer;1978-10-01;13382
Alcoholic beverages;Beer;1978-11-01;13656
Alcoholic beverages;Beer;1978-12-01;13749
Alcoholic beverages;Beer;1979-01-01;13996
Alcoholic beverages;Beer;1979-02-01;14133
Alcoholic beverages;Beer;1979-03-01;14259
Alcoholic beverages;Beer;1979-04-01;14273
Alcoholic beverages;Beer;1979-05-01;14424
Alcoholic beverages;Beer;1979-06-01;15083
Alcoholic beverages;Beer;1979-07-01;15049
Alcoholic beverages;Beer;1979-08-01;15283
Alcoholic beverages;Beer;1979-09-01;15583
Alcoholic beverages;Beer;1979-10-01;15450
Alcoholic beverages;Beer;1979-11-01;15880
Alcoholic beverages;Beer;1979-12-01;16095
Alcoholic beverages;Beer;1980-01-01;16602
Alcoholic beverages;Beer;1980-02-01;16566
Alcoholic beverages;Beer;1980-03-01;16762
Alcoholic beverages;Beer;1980-04-01;16834
Alcoholic beverages;Beer;1980-05-01;17027
Alcoholic beverages;Beer;1980-06-01;17081
Alcoholic beverages;Beer;1980-07-01;17087
Alcoholic beverages;Beer;1980-08-01;17513
Alcoholic beverages;Beer;1980-09-01;17497
Alcoholic beverages;Beer;1980-10-01;17793
Alcoholic beverages;Beer;1980-11-01;18030
Alcoholic beverages;Beer;1980-12-01;18148
Alcoholic beverages;Beer;1981-01-01;18419
Alcoholic beverages;Beer;1981-02-01;18525
Alcoholic beverages;Beer;1981-03-01;18521
Alcoholic beverages;Beer;1981-04-01;18757
Alcoholic beverages;Beer;1981-05-01;18925
Alcoholic beverages;Beer;1981-06-01;19035
Alcoholic beverages;Beer;1981-07-01;19236
Alcoholic beverages;Beer;1981-08-01;19590
Alcoholic beverages;Beer;1981-09-01;19587
Alcoholic beverages;Beer;1981-10-01;19889
Alcoholic beverages;Beer;1981-11-01;19989
Alcoholic beverages;Beer;1981-12-01;20587
Alcoholic beverages;Beer;1982-01-01;20479
Alcoholic beverages;Beer;1982-02-01;20681
Alcoholic beverages;Beer;1982-03-01;20753
Alcoholic beverages;Beer;1982-04-01;21025
Alcoholic beverages;Beer;1982-05-01;21137
Alcoholic beverages;Beer;1982-06-01;21053
Alcoholic beverages;Beer;1982-07-01;21329
Alcoholic beverages;Beer;1982-08-01;21157
Alcoholic beverages;Beer;1982-09-01;21316
Alcoholic beverages;Beer;1982-10-01;21660
Alcoholic beverages;Beer;1982-11-01;21469
Alcoholic beverages;Beer;1982-12-01;21681
Alcoholic beverages;Beer;1983-01-01;21607
Alcoholic beverages;Beer;1983-02-01;21978
Alcoholic beverages;Beer;1983-03-01;22155
Alcoholic beverages;Beer;1983-04-01;22324
Alcoholic beverages;Beer;1983-05-01;22330
Alcoholic beverages;Beer;1983-06-01;22505
Alcoholic beverages;Beer;1983-07-01;22730
Alcoholic beverages;Beer;1983-08-01;22769
Alcoholic beverages;Beer;1983-09-01;22924
Alcoholic beverages;Beer;1983-10-01;22839
Alcoholic beverages;Beer;1983-11-01;23098
Alcoholic beverages;Beer;1983-12-01;23187
Alcoholic beverages;Beer;1984-01-01;22948
Alcoholic beverages;Beer;1984-02-01;22650
Alcoholic beverages;Beer;1984-03-01;22843
Alcoholic beverages;Beer;1984-04-01;22916
Alcoholic beverages;Beer;1984-05-01;23000
Alcoholic beverages;Beer;1984-06-01;23395
Alcoholic beverages;Beer;1984-07-01;23316
Alcoholic beverages;Beer;1984-08-01;23404
Alcoholic beverages;Beer;1984-09-01;23546
Alcoholic beverages;Beer;1984-10-01;23475
Alcoholic beverages;Beer;1984-11-01;23614
Alcoholic beverages;Beer;1984-12-01;23685
Alcoholic beverages;Beer;1985-01-01;23974
Alcoholic beverages;Beer;1985-02-01;23931
Alcoholic beverages;Beer;1985-03-01;24049
Alcoholic beverages;Beer;1985-04-01;24325
Alcoholic beverages;Beer;1985-05-01;24233
Alcoholic beverages;Beer;1985-06-01;24282
Alcoholic beverages;Beer;1985-07-01;24450
Alcoholic beverages;Beer;1985-08-01;24689
Alcoholic beverages;Beer;1985-09-01;25704
Alcoholic beverages;Beer;1985-10-01;25000
Alcoholic beverages;Beer;1985-11-01;25426
Alcoholic beverages;Beer;1985-12-01;25783
Alcoholic beverages;Beer;1986-01-01;25951
Alcoholic beverages;Beer;1986-02-01;25920
Alcoholic beverages;Beer;1986-03-01;26194
Alcoholic beverages;Beer;1986-04-01;25871
Alcoholic beverages;Beer;1986-05-01;26012
Alcoholic beverages;Beer;1986-06-01;26317
Alcoholic beverages;Beer;1986-07-01;26302
Alcoholic beverages;Beer;1986-08-01;26016
Alcoholic beverages;Beer;1986-09-01;26116
Alcoholic beverages;Beer;1986-10-01;26331
Alcoholic beverages;Beer;1986-11-01;26049
Alcoholic beverages;Beer;1986-12-01;26002
Alcoholic beverages;Beer;1987-01-01;25992
Alcoholic beverages;Beer;1987-02-01;26242
Alcoholic beverages;Beer;1987-03-01;26007
Alcoholic beverages;Beer;1987-04-01;26118
Alcoholic beverages;Beer;1987-05-01;26125
Alcoholic beverages;Beer;1987-06-01;25940
Alcoholic beverages;Beer;1987-07-01;25975
Alcoholic beverages;Beer;1987-08-01;26188
Alcoholic beverages;Beer;1987-09-01;26123
Alcoholic beverages;Beer;1987-10-01;26320
Alcoholic beverages;Beer;1987-11-01;26323
Alcoholic beverages;Beer;1987-12-01;26436
Alcoholic beverages;Beer;1988-01-01;26199
Alcoholic beverages;Beer;1988-02-01;26091
Alcoholic beverages;Beer;1988-03-01;26888
Alcoholic beverages;Beer;1988-04-01;26485
Alcoholic beverages;Beer;1988-05-01;26927
Alcoholic beverages;Beer;1988-06-01;26685
Alcoholic beverages;Beer;1988-07-01;26630
Alcoholic beverages;Beer;1988-08-01;26950
Alcoholic beverages;Beer;1988-09-01;26645
Alcoholic beverages;Beer;1988-10-01;26648
Alcoholic beverages;Beer;1988-11-01;26819
Alcoholic beverages;Beer;1988-12-01;27062
Alcoholic beverages;Beer;1989-01-01;27160
Alcoholic beverages;Beer;1989-02-01;27074
Alcoholic beverages;Beer;1989-03-01;27489
Alcoholic beverages;Beer;1989-04-01;27436
Alcoholic beverages;Beer;1989-05-01;27763
Alcoholic beverages;Beer;1989-06-01;27619
Alcoholic beverages;Beer;1989-07-01;27856
Alcoholic beverages;Beer;1989-08-01;27582
Alcoholic beverages;Beer;1989-09-01;27882
Alcoholic beverages;Beer;1989-10-01;27730
Alcoholic beverages;Beer;1989-11-01;28073
Alcoholic beverages;Beer;1989-12-01;28230
Alcoholic beverages;Beer;1990-01-01;28586
Alcoholic beverages;Beer;1990-02-01;28327
Alcoholic beverages;Beer;1990-03-01;28992
Alcoholic beverages;Beer;1990-04-01;29183
Alcoholic beverages;Beer;1990-05-01;29152
Alcoholic beverages;Beer;1990-06-01;29577
Alcoholic beverages;Beer;1990-07-01;29349
Alcoholic beverages;Beer;1990-08-01;30126
Alcoholic beverages;Beer;1990-09-01;30859
Alcoholic beverages;Beer;1990-10-01;30266
Alcoholic beverages;Beer;1990-11-01;30806
Alcoholic beverages;Beer;1990-12-01;30112
Alcoholic beverages;Spirits;1976-01-01;7715
Alcoholic beverages;Spirits;1976-02-01;7759
Alcoholic beverages;Spirits;1976-03-01;7841
Alcoholic beverages;Spirits;1976-04-01;7876
Alcoholic beverages;Spirits;1976-05-01;7874
Alcoholic beverages;Spirits;1976-06-01;8038
Alcoholic beverages;Spirits;1976-07-01;8027
Alcoholic beverages;Spirits;1976-08-01;8032
Alcoholic beverages;Spirits;1976-09-01;8046
Alcoholic beverages;Spirits;1976-10-01;8151
Alcoholic beverages;Spirits;1976-11-01;8077
Alcoholic beverages;Spirits;1976-12-01;8148
Alcoholic beverages;Spirits;1977-01-01;8097
Alcoholic beverages;Spirits;1977-02-01;8530
Alcoholic beverages;Spirits;1977-03-01;8348
Alcoholic beverages;Spirits;1977-04-01;8418
Alcoholic beverages;Spirits;1977-05-01;8485
Alcoholic beverages;Spirits;1977-06-01;8467
Alcoholic beverages;Spirits;1977-07-01;8500
Alcoholic beverages;Spirits;1977-08-01;8455
Alcoholic beverages;Spirits;1977-09-01;8422
Alcoholic beverages;Spirits;1977-10-01;8577
Alcoholic beverages;Spirits;1977-11-01;8761
Alcoholic beverages;Spirits;1977-12-01;8728
Alcoholic beverages;Spirits;1978-01-01;8252
Alcoholic beverages;Spirits;1978-02-01;8260
Alcoholic beverages;Spirits;1978-03-01;8307
Alcoholic beverages;Spirits;1978-04-01;8173
Alcoholic beverages;Spirits;1978-05-01;8107
Alcoholic beverages;Spirits;1978-06-01;8114
Alcoholic beverages;Spirits;1978-07-01;8062
Alcoholic beverages;Spirits;1978-08-01;8055
Alcoholic beverages;Spirits;1978-09-01;8161
Alcoholic beverages;Spirits;1978-10-01;7968
Alcoholic beverages;Spirits;1978-11-01;8038
Alcoholic beverages;Spirits;1978-12-01;7928
Alcoholic beverages;Spirits;1979-01-01;8021
Alcoholic beverages;Spirits;1979-02-01;8063
Alcoholic beverages;Spirits;1979-03-01;8051
Alcoholic beverages;Spirits;1979-04-01;8031
Alcoholic beverages;Spirits;1979-05-01;7928
Alcoholic beverages;Spirits;1979-06-01;8319
Alcoholic beverages;Spirits;1979-07-01;8359
Alcoholic beverages;Spirits;1979-08-01;8346
Alcoholic beverages;Spirits;1979-09-01;8417
Alcoholic beverages;Spirits;1979-10-01;8130
Alcoholic beverages;Spirits;1979-11-01;8291
Alcoholic beverages;Spirits;1979-12-01;8411
Alcoholic beverages;Spirits;1980-01-01;8650
Alcoholic beverages;Spirits;1980-02-01;8419
Alcoholic beverages;Spirits;1980-03-01;8398
Alcoholic beverages;Spirits;1980-04-01;8296
Alcoholic beverages;Spirits;1980-05-01;8272
Alcoholic beverages;Spirits;1980-06-01;8179
Alcoholic beverages;Spirits;1980-07-01;7974
Alcoholic beverages;Spirits;1980-08-01;8080
Alcoholic beverages;Spirits;1980-09-01;7903
Alcoholic beverages;Spirits;1980-10-01;7935
Alcoholic beverages;Spirits;1980-11-01;7980
Alcoholic beverages;Spirits;1980-12-01;7886
Alcoholic beverages;Spirits;1981-01-01;7951
Alcoholic beverages;Spirits;1981-02-01;7988
Alcoholic beverages;Spirits;1981-03-01;7869
Alcoholic beverages;Spirits;1981-04-01;7869
Alcoholic beverages;Spirits;1981-05-01;7850
Alcoholic beverages;Spirits;1981-06-01;7746
Alcoholic beverages;Spirits;1981-07-01;7718
Alcoholic beverages;Spirits;1981-08-01;7754
Alcoholic beverages;Spirits;1981-09-01;7599
Alcoholic beverages;Spirits;1981-10-01;7548
Alcoholic beverages;Spirits;1981-11-01;7418
Alcoholic beverages;Spirits;1981-12-01;7590
Alcoholic beverages;Spirits;1982-01-01;7364
Alcoholic beverages;Spirits;1982-02-01;7327
Alcoholic beverages;Spirits;1982-03-01;7290
Alcoholic beverages;Spirits;1982-04-01;7314
Alcoholic beverages;Spirits;1982-05-01;7257
Alcoholic beverages;Spirits;1982-06-01;7092
Alcoholic beverages;Spirits;1982-07-01;7110
Alcoholic beverages;Spirits;1982-08-01;6982
Alcoholic beverages;Spirits;1982-09-01;6997
Alcoholic beverages;Spirits;1982-10-01;7094
Alcoholic beverages;Spirits;1982-11-01;7005
Alcoholic beverages;Spirits;1982-12-01;7025
Alcoholic beverages;Spirits;1983-01-01;7142
Alcoholic beverages;Spirits;1983-02-01;7322
Alcoholic beverages;Spirits;1983-03-01;7425
Alcoholic beverages;Spirits;1983-04-01;7506
Alcoholic beverages;Spirits;1983-05-01;7515
Alcoholic beverages;Spirits;1983-06-01;7579
Alcoholic beverages;Spirits;1983-07-01;7658
Alcoholic beverages;Spirits;1983-08-01;7702
Alcoholic beverages;Spirits;1983-09-01;7779
Alcoholic beverages;Spirits;1983-10-01;7716
Alcoholic beverages;Spirits;1983-11-01;7842
Alcoholic beverages;Spirits;1983-12-01;7913
Alcoholic beverages;Spirits;1984-01-01;7595
Alcoholic beverages;Spirits;1984-02-01;7345
Alcoholic beverages;Spirits;1984-03-01;7381
Alcoholic beverages;Spirits;1984-04-01;7359
Alcoholic beverages;Spirits;1984-05-01;7382
Alcoholic beverages;Spirits;1984-06-01;7548
Alcoholic beverages;Spirits;1984-07-01;7539
Alcoholic beverages;Spirits;1984-08-01;7547
Alcoholic beverages;Spirits;1984-09-01;7553
Alcoholic beverages;Spirits;1984-10-01;7553
Alcoholic beverages;Spirits;1984-11-01;7572
Alcoholic beverages;Spirits;1984-12-01;7634
Alcoholic beverages;Spirits;1985-01-01;7808
Alcoholic beverages;Spirits;1985-02-01;7776
Alcoholic beverages;Spirits;1985-03-01;7872
Alcoholic beverages;Spirits;1985-04-01;7975
Alcoholic beverages;Spirits;1985-05-01;7906
Alcoholic beverages;Spirits;1985-06-01;7936
Alcoholic beverages;Spirits;1985-07-01;7997
Alcoholic beverages;Spirits;1985-08-01;8086
Alcoholic beverages;Spirits;1985-09-01;8670
Alcoholic beverages;Spirits;1985-10-01;8153
Alcoholic beverages;Spirits;1985-11-01;8315
Alcoholic beverages;Spirits;1985-12-01;8421
Alcoholic beverages;Spirits;1986-01-01;8406
Alcoholic beverages;Spirits;1986-02-01;8359
Alcoholic beverages;Spirits;1986-03-01;8519
Alcoholic beverages;Spirits;1986-04-01;8375
Alcoholic beverages;Spirits;1986-05-01;8351
Alcoholic beverages;Spirits;1986-06-01;8497
Alcoholic beverages;Spirits;1986-07-01;8458
Alcoholic beverages;Spirits;1986-08-01;8368
Alcoholic beverages;Spirits;1986-09-01;8359
Alcoholic beverages;Spirits;1986-10-01;8450
Alcoholic beverages;Spirits;1986-11-01;8293
Alcoholic beverages;Spirits;1986-12-01;8269
Alcoholic beverages;Spirits;1987-01-01;8325
Alcoholic beverages;Spirits;1987-02-01;8487
Alcoholic beverages;Spirits;1987-03-01;8384
Alcoholic beverages;Spirits;1987-04-01;8444
Alcoholic beverages;Spirits;1987-05-01;8516
Alcoholic beverages;Spirits;1987-06-01;8395
Alcoholic beverages;Spirits;1987-07-01;8453
Alcoholic beverages;Spirits;1987-08-01;8556
Alcoholic beverages;Spirits;1987-09-01;8561
Alcoholic beverages;Spirits;1987-10-01;8680
Alcoholic beverages;Spirits;1987-11-01;8673
Alcoholic beverages;Spirits;1987-12-01;8700
Alcoholic beverages;Spirits;1988-01-01;8661
Alcoholic beverages;Spirits;1988-02-01;8607
Alcoholic beverages;Spirits;1988-03-01;8849
Alcoholic beverages;Spirits;1988-04-01;8933
Alcoholic beverages;Spirits;1988-05-01;9070
Alcoholic beverages;Spirits;1988-06-01;9085
Alcoholic beverages;Spirits;1988-07-01;9002
Alcoholic beverages;Spirits;1988-08-01;8994
Alcoholic beverages;Spirits;1988-09-01;8975
Alcoholic beverages;Spirits;1988-10-01;9009
Alcoholic beverages;Spirits;1988-11-01;9156
Alcoholic beverages;Spirits;1988-12-01;9285
Alcoholic beverages;Spirits;1989-01-01;9397
Alcoholic beverages;Spirits;1989-02-01;9262
Alcoholic beverages;Spirits;1989-03-01;9376
Alcoholic beverages;Spirits;1989-04-01;9510
Alcoholic beverages;Spirits;1989-05-01;9717
Alcoholic beverages;Spirits;1989-06-01;9685
Alcoholic beverages;Spirits;1989-07-01;9727
Alcoholic beverages;Spirits;1989-08-01;9761
Alcoholic beverages;Spirits;1989-09-01;9908
Alcoholic beverages;Spirits;1989-10-01;9864
Alcoholic beverages;Spirits;1989-11-01;9907
Alcoholic beverages;Spirits;1989-12-01;9892
Alcoholic beverages;Spirits;1990-01-01;10158
Alcoholic beverages;Spirits;1990-02-01;10329
Alcoholic beverages;Spirits;1990-03-01;10456
Alcoholic beverages;Spirits;1990-04-01;10608
Alcoholic beverages;Spirits;1990-05-01;10568
Alcoholic beverages;Spirits;1990-06-01;10821
Alcoholic beverages;Spirits;1990-07-01;10954
Alcoholic beverages;Spirits;1990-08-01;11110
Alcoholic beverages;Spirits;1990-09-01;11233
Alcoholic beverages;Spirits;1990-10-01;11329
Alcoholic beverages;Spirits;1990-11-01;11464
Alcoholic beverages;Spirits;1990-12-01;11755
Alcoholic beverages;Wine;1976-01-01;2027
Alcoholic beverages;Wine;1976-02-01;2040
Alcoholic beverages;Wine;1976-03-01;2063
Alcoholic beverages;Wine;1976-04-01;2074
Alcoholic beverages;Wine;1976-05-01;2076
Alcoholic beverages;Wine;1976-06-01;2120
Alcoholic beverages;Wine;1976-07-01;2122
Alcoholic beverages;Wine;1976-08-01;2126
Alcoholic beverages;Wine;1976-09-01;2133
Alcoholic beverages;Wine;1976-10-01;2164
Alcoholic beverages;Wine;1976-11-01;2147
Alcoholic beverages;Wine;1976-12-01;2168
Alcoholic beverages;Wine;1977-01-01;2155
Alcoholic beverages;Wine;1977-02-01;2275
Alcoholic beverages;Wine;1977-03-01;2228
Alcoholic beverages;Wine;1977-04-01;2249
Alcoholic beverages;Wine;1977-05-01;2269
Alcoholic beverages;Wine;1977-06-01;2268
Alcoholic beverages;Wine;1977-07-01;2276
Alcoholic beverages;Wine;1977-08-01;2266
Alcoholic beverages;Wine;1977-09-01;2259
Alcoholic beverages;Wine;1977-10-01;2301
Alcoholic beverages;Wine;1977-11-01;2351
Alcoholic beverages;Wine;1977-12-01;2343
Alcoholic beverages;Wine;1978-01-01;2456
Alcoholic beverages;Wine;1978-02-01;2522
Alcoholic beverages;Wine;1978-03-01;2602
Alcoholic beverages;Wine;1978-04-01;2636
Alcoholic beverages;Wine;1978-05-01;2697
Alcoholic beverages;Wine;1978-06-01;2782
Alcoholic beverages;Wine;1978-07-01;2842
Alcoholic beverages;Wine;1978-08-01;2923
Alcoholic beverages;Wine;1978-09-01;3040
Alcoholic beverages;Wine;1978-10-01;3050
Alcoholic beverages;Wine;1978-11-01;3147
Alcoholic beverages;Wine;1978-12-01;3179
Alcoholic beverages;Wine;1979-01-01;3243
Alcoholic beverages;Wine;1979-02-01;3284
Alcoholic beverages;Wine;1979-03-01;3320
Alcoholic beverages;Wine;1979-04-01;3352
Alcoholic beverages;Wine;1979-05-01;3387
Alcoholic beverages;Wine;1979-06-01;3600
Alcoholic beverages;Wine;1979-07-01;3663
Alcoholic beverages;Wine;1979-08-01;3748
Alcoholic beverages;Wine;1979-09-01;3862
Alcoholic beverages;Wine;1979-10-01;3839
Alcoholic beverages;Wine;1979-11-01;3993
Alcoholic beverages;Wine;1979-12-01;4113
Alcoholic beverages;Wine;1980-01-01;4276
Alcoholic beverages;Wine;1980-02-01;4243
Alcoholic beverages;Wine;1980-03-01;4306
Alcoholic beverages;Wine;1980-04-01;4340
Alcoholic beverages;Wine;1980-05-01;4420
Alcoholic beverages;Wine;1980-06-01;4469
Alcoholic beverages;Wine;1980-07-01;4483
Alcoholic beverages;Wine;1980-08-01;4645
Alcoholic beverages;Wine;1980-09-01;4666
Alcoholic beverages;Wine;1980-10-01;4791
Alcoholic beverages;Wine;1980-11-01;4911
Alcoholic beverages;Wine;1980-12-01;4966
Alcoholic beverages;Wine;1981-01-01;5056
Alcoholic beverages;Wine;1981-02-01;5111
Alcoholic beverages;Wine;1981-03-01;5112
Alcoholic beverages;Wine;1981-04-01;5198
Alcoholic beverages;Wine;1981-05-01;5283
Alcoholic beverages;Wine;1981-06-01;5336
Alcoholic beverages;Wine;1981-07-01;5439
Alcoholic beverages;Wine;1981-08-01;5592
Alcoholic beverages;Wine;1981-09-01;5628
Alcoholic beverages;Wine;1981-10-01;5744
Alcoholic beverages;Wine;1981-11-01;5798
Alcoholic beverages;Wine;1981-12-01;6043
Alcoholic beverages;Wine;1982-01-01;6023
Alcoholic beverages;Wine;1982-02-01;6127
Alcoholic beverages;Wine;1982-03-01;6206
Alcoholic beverages;Wine;1982-04-01;6333
Alcoholic beverages;Wine;1982-05-01;6394
Alcoholic beverages;Wine;1982-06-01;6363
Alcoholic beverages;Wine;1982-07-01;6461
Alcoholic beverages;Wine;1982-08-01;6413
Alcoholic beverages;Wine;1982-09-01;6469
Alcoholic beverages;Wine;1982-10-01;6579
Alcoholic beverages;Wine;1982-11-01;6506
Alcoholic beverages;Wine;1982-12-01;6530
Alcoholic beverages;Wine;1983-01-01;6546
Alcoholic beverages;Wine;1983-02-01;6633
Alcoholic beverages;Wine;1983-03-01;6661
Alcoholic beverages;Wine;1983-04-01;6674
Alcoholic beverages;Wine;1983-05-01;6637
Alcoholic beverages;Wine;1983-06-01;6654
Alcoholic beverages;Wine;1983-07-01;6690
Alcoholic beverages;Wine;1983-08-01;6689
Alcoholic beverages;Wine;1983-09-01;6725
Alcoholic beverages;Wine;1983-10-01;6665
Alcoholic beverages;Wine;1983-11-01;6751
Alcoholic beverages;Wine;1983-12-01;6793
Alcoholic beverages;Wine;1984-01-01;6615
Alcoholic beverages;Wine;1984-02-01;6462
Alcoholic beverages;Wine;1984-03-01;6511
Alcoholic beverages;Wine;1984-04-01;6513
Alcoholic beverages;Wine;1984-05-01;6539
Alcoholic beverages;Wine;1984-06-01;6671
Alcoholic beverages;Wine;1984-07-01;6657
Alcoholic beverages;Wine;1984-08-01;6671
Alcoholic beverages;Wine;1984-09-01;6690
Alcoholic beverages;Wine;1984-10-01;6676
Alcoholic beverages;Wine;1984-11-01;6697
Alcoholic beverages;Wine;1984-12-01;6720
Alcoholic beverages;Wine;1985-01-01;6827
Alcoholic beverages;Wine;1985-02-01;6784
Alcoholic beverages;Wine;1985-03-01;6832
Alcoholic beverages;Wine;1985-04-01;6903
Alcoholic beverages;Wine;1985-05-01;6842
Alcoholic beverages;Wine;1985-06-01;6850
Alcoholic beverages;Wine;1985-07-01;6890
Alcoholic beverages;Wine;1985-08-01;6952
Alcoholic beverages;Wine;1985-09-01;7353
Alcoholic beverages;Wine;1985-10-01;7006
Alcoholic beverages;Wine;1985-11-01;7129
Alcoholic beverages;Wine;1985-12-01;7221
Alcoholic beverages;Wine;1986-01-01;7231
Alcoholic beverages;Wine;1986-02-01;7202
Alcoholic beverages;Wine;1986-03-01;7308
Alcoholic beverages;Wine;1986-04-01;7187
Alcoholic beverages;Wine;1986-05-01;7190
Alcoholic beverages;Wine;1986-06-01;7288
Alcoholic beverages;Wine;1986-07-01;7253
Alcoholic beverages;Wine;1986-08-01;7159
Alcoholic beverages;Wine;1986-09-01;7147
Alcoholic beverages;Wine;1986-10-01;7199
Alcoholic beverages;Wine;1986-11-01;7064
Alcoholic beverages;Wine;1986-12-01;7024
Alcoholic beverages;Wine;1987-01-01;7032
Alcoholic beverages;Wine;1987-02-01;7138
Alcoholic beverages;Wine;1987-03-01;7043
Alcoholic beverages;Wine;1987-04-01;7073
Alcoholic beverages;Wine;1987-05-01;7101
Alcoholic beverages;Wine;1987-06-01;7008
Alcoholic beverages;Wine;1987-07-01;7038
Alcoholic beverages;Wine;1987-08-01;7106
Alcoholic beverages;Wine;1987-09-01;7099
Alcoholic beverages;Wine;1987-10-01;7175
Alcoholic beverages;Wine;1987-11-01;7172
Alcoholic beverages;Wine;1987-12-01;7200
Alcoholic beverages;Wine;1988-01-01;7166
Alcoholic beverages;Wine;1988-02-01;7169
Alcoholic beverages;Wine;1988-03-01;7397
Alcoholic beverages;Wine;1988-04-01;7359
Alcoholic beverages;Wine;1988-05-01;7503
Alcoholic beverages;Wine;1988-06-01;7470
Alcoholic beverages;Wine;1988-07-01;7448
Alcoholic beverages;Wine;1988-08-01;7517
Alcoholic beverages;Wine;1988-09-01;7467
Alcoholic beverages;Wine;1988-10-01;7494
Alcoholic beverages;Wine;1988-11-01;7579
Alcoholic beverages;Wine;1988-12-01;7693
Alcoholic beverages;Wine;1989-01-01;7753
Alcoholic beverages;Wine;1989-02-01;7674
Alcoholic beverages;Wine;1989-03-01;7782
Alcoholic beverages;Wine;1989-04-01;7756
Alcoholic beverages;Wine;1989-05-01;7885
Alcoholic beverages;Wine;1989-06-01;7861
Alcoholic beverages;Wine;1989-07-01;7964
Alcoholic beverages;Wine;1989-08-01;7965
Alcoholic beverages;Wine;1989-09-01;8103
Alcoholic beverages;Wine;1989-10-01;8055
Alcoholic beverages;Wine;1989-11-01;8173
Alcoholic beverages;Wine;1989-12-01;8201
Alcoholic beverages;Wine;1990-01-01;8341
Alcoholic beverages;Wine;1990-02-01;8321
Alcoholic beverages;Wine;1990-03-01;8514
Alcoholic beverages;Wine;1990-04-01;8650
Alcoholic beverages;Wine;1990-05-01;8657
Alcoholic beverages;Wine;1990-06-01;8818
Alcoholic beverages;Wine;1990-07-01;8841
Alcoholic beverages;Wine;1990-08-01;8958
Alcoholic beverages;Wine;1990-09-01;9123
Alcoholic beverages;Wine;1990-10-01;8977
Alcoholic beverages;Wine;1990-11-01;9122
Alcoholic beverages;Wine;1990-12-01;9132
Cereals and bakery products;Bakery products;1976-01-01;15142
Cereals and bakery products;Bakery products;1976-02-01;14990
Cereals and bakery products;Bakery products;1976-03-01;15083
Cereals and bakery products;Bakery products;1976-04-01;15174
Cereals and bakery products;Bakery products;1976-05-01;15223
Cereals and bakery products;Bakery products;1976-06-01;15436
Cereals and bakery products;Bakery products;1976-07-01;15335
Cereals and bakery products;Bakery products;1976-08-01;15506
Cereals and bakery products;Bakery products;1976-09-01;15484
Cereals and bakery products;Bakery products;1976-10-01;15614
Cereals and bakery products;Bakery products;1976-11-01;15467
Cereals and bakery products;Bakery products;1976-12-01;15673
Cereals and bakery products;Bakery products;1977-01-01;15919
Cereals and bakery products;Bakery products;1977-02-01;15705
Cereals and bakery products;Bakery products;1977-03-01;15622
Cereals and bakery products;Bakery products;1977-04-01;15732
Cereals and bakery products;Bakery products;1977-05-01;16063
Cereals and bakery products;Bakery products;1977-06-01;16050
Cereals and bakery products;Bakery products;1977-07-01;16072
Cereals and bakery products;Bakery products;1977-08-01;15903
Cereals and bakery products;Bakery products;1977-09-01;15879
Cereals and bakery products;Bakery products;1977-10-01;16098
Cereals and bakery products;Bakery products;1977-11-01;16517
Cereals and bakery products;Bakery products;1977-12-01;16192
Cereals and bakery products;Bakery products;1978-01-01;16004
Cereals and bakery products;Bakery products;1978-02-01;16211
Cereals and bakery products;Bakery products;1978-03-01;16301
Cereals and bakery products;Bakery products;1978-04-01;16208
Cereals and bakery products;Bakery products;1978-05-01;16333
Cereals and bakery products;Bakery products;1978-06-01;16542
Cereals and bakery products;Bakery products;1978-07-01;16456
Cereals and bakery products;Bakery products;1978-08-01;16585
